feature,ks_stat,p_value,drift
V326,0.1765804688586471,5.002178377456524e-229,True
id_32,0.07994925446571832,3.089115587638801e-44,True
V158,0.07904949559647717,1.0346414094781139e-45,True
V156,0.07904949559647717,1.0346414094781139e-45,True
V219,0.0713617754632433,2.0335985660514364e-55,True
C1,0.052039999999999975,2.7800291708612514e-59,True
C8,0.05142000000000002,6.898782464686681e-58,True
V283,0.05092000000000002,8.940172721186273e-57,True
V308,0.04796,2.0636790816877946e-50,True
V258,0.04632580113842799,1.3693604150923875e-23,True
C14,0.04474,6.359755845039368e-44,True
V312,0.03976000000000002,8.909670785909649e-35,True
V257,0.038357890274918205,2.6313597256107007e-16,True
C5,0.026859999999999995,4.2129077731242283e-16,True
V295,0.021240000000000037,3.145254273794657e-10,True
V201,0.020805206133602164,1.4068746331387126e-05,True
V317,0.020520000000000094,1.4154223453550882e-09,True
V294,0.020520000000000094,1.4154223453550882e-09,True
V190,0.014873245033112603,0.004611965550906926,True
V91,0.013639999999999985,0.0001806898377914668,True
card3,0.011599999999999944,0.002375071260290383,True
V187,0.009251390728476805,0.19026259476747132,False
V142,0.007050728582866261,0.7993311211393639,False
V30,0.006199999999999983,0.29051988890268277,False
V161,0.006192714171337044,0.9047977623577887,False
V162,0.005431465172137662,0.9655376125629104,False
V34,0.005319999999999991,0.47721740321234773,False
V163,0.0040495116092873484,0.9991208393956456,False
V70,0.0037000000000000366,0.8821711875387847,False
V141,0.003308582866292986,0.999987151644602,False
