feature,psi,bucket
V156,0.030449514041140352,estable (<0.1)
V158,0.030449514041140352,estable (<0.1)
V219,0.018954099839241928,estable (<0.1)
V258,0.017710937639461997,estable (<0.1)
V283,0.015744692937120847,estable (<0.1)
C8,0.014706702324074157,estable (<0.1)
V257,0.014019932793327078,estable (<0.1)
C1,0.011528514577786279,estable (<0.1)
V308,0.009097445103630714,estable (<0.1)
V312,0.008574190765726622,estable (<0.1)
V201,0.006561060520090891,estable (<0.1)
C14,0.006442888624756994,estable (<0.1)
V294,0.0026613095434120243,estable (<0.1)
C5,0.0025591409316537113,estable (<0.1)
card3,0.0025062743650032158,estable (<0.1)
V317,0.002126863905883009,estable (<0.1)
V91,0.0006403073468096159,estable (<0.1)
V190,0.0003551870968969466,estable (<0.1)
V70,0.0002118973094936665,estable (<0.1)
id_32,0.00020864223525978912,estable (<0.1)
V34,0.0001684034427334112,estable (<0.1)
V30,0.00015509092334543755,estable (<0.1)
V187,,
V142,,
V295,,
V162,,
V161,,
V326,,
V163,,
V141,,
